Date,Value,TradesMade,Rank
5/4/2023 12:00:00 AM,1000000,0,0
5/5/2023 12:00:00 AM,1000082.19,0,0
5/6/2023 12:00:00 AM,1000164.39,0,0
5/7/2023 12:00:00 AM,1000246.6,0,0
5/8/2023 12:00:00 AM,1000328.81,0,0
5/9/2023 12:00:00 AM,1000411.03,0,0
5/10/2023 12:00:00 AM,1000493.26,0,0
5/11/2023 12:00:00 AM,1000575.49,0,0
5/12/2023 12:00:00 AM,1000657.73,0,0
5/13/2023 12:00:00 AM,1000739.98,0,0
5/14/2023 12:00:00 AM,1000822.23,0,0
5/15/2023 12:00:00 AM,1000904.49,0,0
5/16/2023 12:00:00 AM,1000986.76,0,0
5/17/2023 12:00:00 AM,1001069.03,0,0
5/18/2023 12:00:00 AM,1001151.31,0,0
5/19/2023 12:00:00 AM,1001233.6,0,0
5/20/2023 12:00:00 AM,1001315.89,0,0
5/21/2023 12:00:00 AM,1001398.19,0,0
5/22/2023 12:00:00 AM,996974.898168085,3,5
5/23/2023 12:00:00 AM,994602.300410604,3,4
5/24/2023 12:00:00 AM,993476.8690495,3,4
5/25/2023 12:00:00 AM,993731.440451558,5,5
5/26/2023 12:00:00 AM,1004685.97278944,5,3
5/27/2023 12:00:00 AM,1004743.26278944,5,3
5/28/2023 12:00:00 AM,1004558.90477043,5,3
5/29/2023 12:00:00 AM,1004282.93339987,5,3
5/30/2023 12:00:00 AM,998482.704103639,7,6
5/31/2023 12:00:00 AM,994402.772210634,7,7
6/1/2023 12:00:00 AM,995549.017855546,7,6
6/2/2023 12:00:00 AM,1000213.23415332,7,5
6/3/2023 12:00:00 AM,1000273.44415332,7,5
6/4/2023 12:00:00 AM,1000190.21264933,7,5
6/5/2023 12:00:00 AM,995643.759533709,7,6
6/6/2023 12:00:00 AM,999746.873989381,7,5
6/7/2023 12:00:00 AM,1001739.76651577,7,4
6/8/2023 12:00:00 AM,1004252.1483709,7,4
6/9/2023 12:00:00 AM,1003678.55501281,7,5
6/10/2023 12:00:00 AM,1003738.80501281,7,5
6/11/2023 12:00:00 AM,1003857.99365065,7,5
6/12/2023 12:00:00 AM,1007309.38308093,8,4
6/13/2023 12:00:00 AM,1013033.36886964,10,4
6/14/2023 12:00:00 AM,1008689.59653551,10,4
6/15/2023 12:00:00 AM,1010227.13282426,10,4
6/16/2023 12:00:00 AM,1013483.94629036,10,4
6/17/2023 12:00:00 AM,1013555.47629036,10,4
6/18/2023 12:00:00 AM,1013636.19879593,10,4
6/19/2023 12:00:00 AM,1013674.72188388,10,4
6/20/2023 12:00:00 AM,1012844.99139624,10,5
6/21/2023 12:00:00 AM,1018532.69480985,11,3
6/22/2023 12:00:00 AM,1018637.00040183,12,3
6/23/2023 12:00:00 AM,1017211.3573129,12,3
6/24/2023 12:00:00 AM,1017286.2073129,12,3
6/25/2023 12:00:00 AM,1017330.3739547,12,3
6/26/2023 12:00:00 AM,1017964.98540646,12,2
6/27/2023 12:00:00 AM,1018896.20922696,12,2
6/28/2023 12:00:00 AM,1018600.57674031,12,2
6/29/2023 12:00:00 AM,1029242.29587279,14,2
6/30/2023 12:00:00 AM,1051879.51912244,17,2
7/1/2023 12:00:00 AM,1051940.60912244,17,2
7/2/2023 12:00:00 AM,1051950.37753205,17,2
7/3/2023 12:00:00 AM,1020801.40406124,17,3
7/4/2023 12:00:00 AM,1020639.94216066,17,3
7/5/2023 12:00:00 AM,971241.431166874,20,6
7/6/2023 12:00:00 AM,917545.552923595,20,10
7/7/2023 12:00:00 AM,912948.522990823,22,10
7/8/2023 12:00:00 AM,911274.483544893,22,10
7/9/2023 12:00:00 AM,911326.401770806,22,10
7/10/2023 12:00:00 AM,915253.021508685,23,10
7/11/2023 12:00:00 AM,909238.234615201,23,11
7/12/2023 12:00:00 AM,906690.416681283,23,10
7/13/2023 12:00:00 AM,900779.087706101,23,10
